Number, Restaurent Name, Trip Advisor URL, Visited?, Rating
141,Mark's Mid-Town Coney Island,http://tripadvisor.com/Restaurant_Review-g29556-d417059-Reviews-Mark_s_Mid_Town_Coney_Island-Ann_Arbor_Michigan.html,no,
142,The Old Siam By Siam Kitchen,http://tripadvisor.com/Restaurant_Review-g29556-d416803-Reviews-The_Old_Siam_By_Siam_Kitchen-Ann_Arbor_Michigan.html,no,
143,Satchel's BBQ,http://tripadvisor.com/Restaurant_Review-g29556-d2249399-Reviews-Satchel_s_BBQ-Ann_Arbor_Michigan.html,no,
144,Romano's Macaroni Grill,http://tripadvisor.com/Restaurant_Review-g29556-d416867-Reviews-Romano_s_Macaroni_Grill-Ann_Arbor_Michigan.html,no,
145,Silvio's Organic Pizza,http://tripadvisor.com/Restaurant_Review-g29556-d790516-Reviews-Silvio_s_Organic_Pizza-Ann_Arbor_Michigan.html,no,
146,Jamaican Jerk Pit,http://tripadvisor.com/Restaurant_Review-g29556-d2689937-Reviews-Jamaican_Jerk_Pit-Ann_Arbor_Michigan.html,no,
147,Noodles & Company,http://tripadvisor.com/Restaurant_Review-g29556-d1478490-Reviews-Noodles_Company-Ann_Arbor_Michigan.html,no,
148,Seoul Street,http://tripadvisor.com/Restaurant_Review-g29556-d2355868-Reviews-Seoul_Street-Ann_Arbor_Michigan.html,no,
149,Ron's Roadside Barbeque,http://tripadvisor.com/Restaurant_Review-g29556-d1897808-Reviews-Ron_s_Roadside_Barbeque-Ann_Arbor_Michigan.html,no,
150,White Castle,http://tripadvisor.com/Restaurant_Review-g29556-d4976692-Reviews-White_Castle-Ann_Arbor_Michigan.html,no,
151,Panera Bread,http://tripadvisor.com/Restaurant_Review-g29556-d416814-Reviews-Panera_Bread-Ann_Arbor_Michigan.html,no,
152,Totoro,http://tripadvisor.com/Restaurant_Review-g29556-d417039-Reviews-Totoro-Ann_Arbor_Michigan.html,no,
153,Foods Of India,http://tripadvisor.com/Restaurant_Review-g29556-d4312935-Reviews-Foods_Of_India-Ann_Arbor_Michigan.html,no,
154,Arirang Restaurant,http://tripadvisor.com/Restaurant_Review-g29556-d4688546-Reviews-Arirang_Restaurant-Ann_Arbor_Michigan.html,no,
155,Sushi.com,http://tripadvisor.com/Restaurant_Review-g29556-d416853-Reviews-Sushi_com-Ann_Arbor_Michigan.html,no,
156,Banfield's Bar And Grill,http://tripadvisor.com/Restaurant_Review-g29556-d417044-Reviews-Banfield_s_Bar_And_Grill-Ann_Arbor_Michigan.html,no,
157,Mikette Bistro & Bar,http://tripadvisor.com/Restaurant_Review-g29556-d10724467-Reviews-Mikette_Bistro_Bar-Ann_Arbor_Michigan.html,no,
158,Tuptim Thai Cuisine,http://tripadvisor.com/Restaurant_Review-g29556-d416788-Reviews-Tuptim_Thai_Cuisine-Ann_Arbor_Michigan.html,no,
159,Ahmo's Gyros & Deli,http://tripadvisor.com/Restaurant_Review-g29556-d416837-Reviews-Ahmo_s_Gyros_Deli-Ann_Arbor_Michigan.html,no,
160,Sweet Heather Anne,http://tripadvisor.com/Restaurant_Review-g29556-d5007671-Reviews-Sweet_Heather_Anne-Ann_Arbor_Michigan.html,no,
161,Which Wich Superior Sandwiches,http://tripadvisor.com/Restaurant_Review-g29556-d8630751-Reviews-Which_Wich_Superior_Sandwiches-Ann_Arbor_Michigan.html,no,
162,Paradise,http://tripadvisor.com/Restaurant_Review-g29556-d416952-Reviews-Paradise-Ann_Arbor_Michigan.html,no,
163,BurgerFi,http://tripadvisor.com/Restaurant_Review-g29556-d5028234-Reviews-BurgerFi-Ann_Arbor_Michigan.html,no,
164,Little Caesars,http://tripadvisor.com/Restaurant_Review-g29556-d4809814-Reviews-Little_Caesars-Ann_Arbor_Michigan.html,no,
165,Olga's Kitchen,http://tripadvisor.com/Restaurant_Review-g29556-d1518969-Reviews-Olga_s_Kitchen-Ann_Arbor_Michigan.html,no,
166,Bar Louie,http://tripadvisor.com/Restaurant_Review-g29556-d2433696-Reviews-Bar_Louie-Ann_Arbor_Michigan.html,no,
167,Espresso Royale,http://tripadvisor.com/Restaurant_Review-g29556-d4974676-Reviews-Espresso_Royale-Ann_Arbor_Michigan.html,no,
168,Babo Market,http://tripadvisor.com/Restaurant_Review-g29556-d8499520-Reviews-Babo_Market-Ann_Arbor_Michigan.html,no,
169,Cottage Inn Pizza,http://tripadvisor.com/Restaurant_Review-g29556-d4281454-Reviews-Cottage_Inn_Pizza-Ann_Arbor_Michigan.html,no,
170,Chia Shiang Restaurant,http://tripadvisor.com/Restaurant_Review-g29556-d416851-Reviews-Chia_Shiang_Restaurant-Ann_Arbor_Michigan.html,no,
171,Maize N Blue Deli,http://tripadvisor.com/Restaurant_Review-g29556-d416786-Reviews-Maize_N_Blue_Deli-Ann_Arbor_Michigan.html,no,
172,Panera Bread,http://tripadvisor.com/Restaurant_Review-g29556-d3717269-Reviews-Panera_Bread-Ann_Arbor_Michigan.html,no,
173,Grillcheezerie,http://tripadvisor.com/Restaurant_Review-g29556-d8750305-Reviews-Grillcheezerie-Ann_Arbor_Michigan.html,no,
